"","time","Cori.mean","Cori.025","Cori.975"
"76",77,1.71155346128371,1.58594992119794,1.84155932366777
"77",78,1.68511887067471,1.56534073411102,1.80814378403487
"78",79,1.65714734765721,1.54389735534443,1.77529539845067
"79",80,1.62736457192859,1.51889437609197,1.7397589330292
"80",81,1.59588459857743,1.49315800691992,1.70075628943716
"81",82,1.56344127054709,1.46780552613066,1.66405419706817
"82",83,1.52909826716014,1.43895788719566,1.62080054579517
"83",84,1.49337593050505,1.40983766258927,1.58067076324219
"84",85,1.45633346503711,1.37899007470563,1.53720142347761
"85",86,1.41829755611254,1.34760127923579,1.49156662315037
"86",87,1.37919816289738,1.31356853347387,1.44644717855904
"87",88,1.33943238377352,1.28027252683291,1.39958501383988
"88",89,1.29908891685774,1.24467507625838,1.35302957552308
"89",90,1.25818865688242,1.20813878453426,1.30664661529619
"90",91,1.21726272529719,1.17194892999102,1.26015541369016
"91",92,1.17621735605248,1.13605408186247,1.21498118035278
"92",93,1.13557416451225,1.09953683777187,1.16969503774334
"93",94,1.09557301961436,1.06434050271469,1.1247700194135
"94",95,1.05582133855312,1.02666925691167,1.08272116259096
"95",96,1.01739773255271,0.992497447194257,1.04131567388851
"96",97,0.979885292247696,0.957459630338676,1.00187219039134
"97",98,0.94354697395633,0.922516752635148,0.96492235893167
"98",99,0.908558235974986,0.887957250041277,0.929343796108932
"99",100,0.87502251735038,0.853128309687095,0.89688854666108
"100",101,0.84290065172362,0.820069984420948,0.865701368999671
"101",102,0.812419230705068,0.78826419590003,0.836748854074297
"102",103,0.783373300296394,0.757716962631234,0.808618237727766
"103",104,0.75605529166817,0.729151929253195,0.782920015276139
"104",105,0.730046644375118,0.702590397187452,0.757199845146083
"105",106,0.705957201397147,0.677271197043106,0.7345841760976
"106",107,0.683320292664257,0.654298980208617,0.712511760000428
"107",108,0.662125192041976,0.632066228992278,0.6924253634954
"108",109,0.642284152687227,0.612265561128611,0.672941810388247
"109",110,0.623954927772917,0.593527886117473,0.655574689504984
"110",111,0.606834384804623,0.576164063443398,0.639777521973426
"111",112,0.59096049978379,0.55995587353046,0.624495340233235
"112",113,0.576316443177624,0.545309717887092,0.609677168547617
"113",114,0.562604268083709,0.531613229044793,0.596424855014618
"114",115,0.550239673217384,0.518806015187573,0.585363600459906
"115",116,0.53851116056991,0.50697890221304,0.57356229554737
"116",117,0.527777613306969,0.495898054008813,0.563650953219837
"117",118,0.517863740250614,0.48598746779443,0.554216037569198
"118",119,0.508740257767969,0.476017029093431,0.545665038246172
"119",120,0.500375344762342,0.466647087791842,0.539011304330755
"120",121,0.492832655209506,0.459295592403174,0.532125766022781
"121",122,0.485702719766941,0.451057306918837,0.526942531549541
"122",123,0.479126615370076,0.444008734728736,0.520854098431103
"123",124,0.473238646210418,0.43748446896831,0.515757360556362
"124",125,0.467574529842604,0.431189720942673,0.511344587304049
"125",126,0.462637093868987,0.425196559771566,0.507838214843035
"126",127,0.45768989897507,0.419643010813094,0.503106417154605
"127",128,0.453638672653057,0.415121860557039,0.501018921031799
"128",129,0.449661734485906,0.411141077060454,0.49724907827436
"129",130,0.445839572716274,0.405393777054926,0.493821060659085
"130",131,0.44253893359803,0.401724218069424,0.49163728268982
"131",132,0.439416602262336,0.398470533098146,0.489735322882616
"132",133,0.436726127166932,0.393730080715035,0.487540677769099
"133",134,0.433980643642227,0.391273084389338,0.48607036856538
"134",135,0.431598293851142,0.387181662463127,0.48340684891504
"135",136,0.429475811113447,0.384135728489733,0.483678434038154
"136",137,0.427156095417055,0.380984094301543,0.482689032700606
"137",138,0.425797955506647,0.379298306859039,0.481438890006882
"138",139,0.423729835859296,0.376314756621574,0.479973415822772
"139",140,0.422324438492256,0.374815500172453,0.478287936066431
"140",141,0.420664060737636,0.371572537310872,0.478945369370813
"141",142,0.419604400537587,0.369163196339793,0.480385122806974
"142",143,0.418401473436282,0.368208862274708,0.478862569433864
"143",144,0.417088603289243,0.365228938763938,0.478521043983694
"144",145,0.415932169419655,0.362782843450746,0.477121335803172
"145",146,0.415254555489398,0.361759044567075,0.478707779625264
"146",147,0.414978183212121,0.361314795551522,0.479474154849805
"147",148,0.41372033265017,0.3582498352149,0.477452587436032
"148",149,0.412821853923368,0.356390565544215,0.479022919564523
"149",150,0.412573631970112,0.355587938168336,0.478856706132923
