"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"30",33,1.97767390221381,2.13960875344444,1.82502468564844,0.509431505277964,0.245731198782478,0.257039109697936,0.997856500493647,0.99782749578633,1.996086425479
"31",34,1.98229890292909,2.13918168881701,1.84757733790405,0.517000025647581,0.248172567314964,0.260186823429187,0.997617077473533,0.997587908993055,1.99565395031655
"32",35,1.96887986586676,2.12082099003967,1.83622843504976,0.512095322037876,0.253536283514686,0.259405883445028,0.997351467632657,0.997322348208686,1.99517453653224
"33",36,1.98429283162001,2.12031140088454,1.8448945155805,0.511981635999455,0.253588398066296,0.257257828874468,0.997056983727986,0.997028017751737,1.99464311972435
"34",37,1.97407674238196,2.10729382023373,1.85771334261015,0.510176992322163,0.253323702383245,0.257593430583876,0.99673095407819,0.996701825683924,1.99405409599675
"35",38,2.0522024088745,2.18081026881271,1.92764922636232,0.50963497577289,0.2452860173642,0.247434053659531,0.99636952936283,0.996340353374165,1.99340126610827
"36",39,2.0185704806716,2.13878720545609,1.90744743344522,0.505277736486938,0.246106104554649,0.249305653382123,0.995969139825161,0.995939822365808,1.99267777396975
"37",40,2.06277519050482,2.18586415144633,1.95165024645599,0.501541525990022,0.246359556555106,0.242051196601873,0.99552515057802,0.995496058127597,1.99187603960852
"38",41,2.0644605184385,2.17240470963318,1.95761064500332,0.501064886120982,0.247357428765322,0.241504498152327,0.995033807538455,0.99500445045269,1.99098768573233
"39",42,1.99152332269187,2.09610245824588,1.90118327902979,0.496119648357291,0.255517940685232,0.247742767533645,0.994488932670056,0.994459910389381,1.99000345738743
"40",43,2.01140375029568,2.10249456177832,1.9130086058476,0.496121095254052,0.249807908623431,0.245146077330525,0.993885855751393,0.993856823477401,1.98891313443524
"41",44,2.00026106130861,2.09431867641016,1.91419885583273,0.495129581797772,0.246441642636084,0.245853680531274,0.99321786058618,0.993188999071986,1.98770543634514
"42",45,1.97472983547277,2.05711652118068,1.88701070124355,0.495290809786345,0.249611868965459,0.248927904358156,0.992478257026028,0.992449615650352,1.98636791880914
"43",46,1.9842522088217,2.06561890663142,1.90853416471879,0.496553816960414,0.247911420078004,0.248160240773703,0.991659894814986,0.991631161966268,1.98488686189714
"44",47,1.9739453301075,2.04918788142078,1.89740621563404,0.500028509242624,0.247931916310073,0.250972119756726,0.990753996269818,0.990725373878505,1.98324714940002
"45",48,1.93902200136827,2.0134836994395,1.87222866754245,0.501558476201809,0.250208331787342,0.256014958101401,0.989752262183385,0.989723166994087,1.9814321389188
"46",49,1.94446231309557,2.01139234415076,1.8753540248199,0.502436937546627,0.247715716887646,0.255459369046852,0.988643705345967,0.988614565116755,1.979423522867
"47",50,1.95333660136755,2.01916437099374,1.8919403249909,0.497363800004647,0.25086191213149,0.251418908804809,0.98741757409714,0.987388624919739,1.97720118024392
"48",51,1.95814579307805,2.01664554428131,1.89330974766408,0.497306808123748,0.253186233945442,0.250428437864002,0.986062092977584,0.986033356804055,1.97474301985959
"49",52,1.96579829765064,2.02868486910209,1.9090523654902,0.499834428427937,0.252223346465617,0.250340981973813,0.984565784602133,0.984535642934539,1.97202481478521
"50",53,1.9680676858724,2.02443887206616,1.90986801549957,0.498349025726266,0.253033484674121,0.248889775107182,0.982909363610453,0.982881152985142,1.96902002981978
"51",54,1.93848231429254,1.99130886396342,1.88653739446366,0.496259970866068,0.251075345499387,0.25116156712721,0.981083070343974,0.981054258794137,1.96569964284705
"52",55,1.94617073529704,1.99842112691112,1.89765182506384,0.498142703035481,0.249164500898215,0.250602302710152,0.979066570202897,0.979037949295697,1.96203196227317
"53",56,1.94930252181688,1.99740399691052,1.90387121805024,0.501359897513516,0.249047297132326,0.25124353342386,0.976842495225916,0.976813747603995,1.95798244307019
"54",57,1.94191162037243,1.9869114934248,1.89823463265361,0.500787824081009,0.24867598024484,0.251279672219756,0.974390534239476,0.974361632603845,1.95351350497624
"55",58,1.93526386041015,1.981106650961,1.89342322208547,0.501542297885263,0.249502755375216,0.251823029022928,0.971690741422923,0.9716599679075,1.94858435738119
"56",59,1.929515343516,1.97078601793255,1.89036575426188,0.501225454184909,0.249817500362465,0.251640475683519,0.968714088295069,0.968685441754413,1.94315083649136
"57",60,1.93136612291885,1.96818096910435,1.89111577934234,0.503355891034313,0.249271361199787,0.251615326432905,0.965442793330799,0.965413023490513,1.93716526196447
"58",61,1.87885283455341,1.91542359336551,1.84303581536197,0.496724441469636,0.249720682696516,0.254330707923435,0.962002131568417,0.961973628204277,1.93058730929983
"59",62,1.79792257546226,1.83046779910598,1.76476062393276,0.479112145265007,0.247473044838316,0.255441978041593,0.958574946555959,0.958549466648855,1.7587985780612
"60",63,1.66593499296846,1.6951690885668,1.63578835509822,0.45021882079194,0.247685820970467,0.258151414572772,0.955232111941929,0.95520660810329,1.5882230125839
"61",64,1.52456444230404,1.55060355735417,1.49845001731519,0.413156276113333,0.246742979008561,0.258004218298993,0.952046670774029,0.952022766188688,1.4189515414442
"62",65,1.37024409359671,1.39553568254909,1.34582789454689,0.371376998030813,0.245848430601063,0.25723484650656,0.949101670167585,0.949078402895572,1.2510437138519
"63",66,1.21257740079671,1.2329373833656,1.192025227403,0.328020579216582,0.246396129073281,0.256035178899522,0.946472542923945,0.946449391672159,1.08450763035741
"64",67,1.05419216290652,1.07396563133424,1.03593199702504,0.285316400822742,0.245548906320921,0.255553668209807,0.944224283819433,0.944200586548611,0.919290732642533
"65",68,0.915388399872773,0.93162628358237,0.898413684553191,0.248840575910033,0.247068699867417,0.256125335468878,0.942186217598608,0.942161627871191,0.755269265118856
"66",69,0.827569837465243,0.843332702682438,0.813501276318489,0.222174329205286,0.248891555046506,0.252403420929457,0.940169185078343,0.940143801257557,0.75363574727388
"67",70,0.766629499701193,0.780953335010764,0.75128496302587,0.205481724924038,0.251173810963426,0.25146605264129,0.938191920471237,0.938164840422787,0.752020090644575
"68",71,0.744319860158175,0.758630964331797,0.730278169975063,0.19987934333602,0.252656711842012,0.251423653052018,0.936262923205289,0.936235055962094,0.750436224935297
"69",72,0.745253178072315,0.75988545491798,0.731181113004995,0.200206650455909,0.25167444250215,0.251015805914658,0.934386178872115,0.934360139908676,0.748892221976204
"70",73,0.740394934729599,0.755493394216077,0.726197907760436,0.200143515965983,0.250690320158568,0.252092155415251,0.932569581650808,0.932542912344472,0.747392512149936
"71",74,0.743071304229208,0.757455923326474,0.728958844741528,0.200299086774224,0.249557803762477,0.250905656143242,0.930811997954833,0.93078441310355,0.745939264112556
"72",75,0.747376733539445,0.762797785907366,0.733304903060314,0.200244754455171,0.24841317695573,0.248937249887124,0.929112521240014,0.929084584673608,0.744533246518355
"73",76,0.748479919753307,0.764450394595262,0.734011320173038,0.200733546848084,0.248726051425111,0.248735359211044,0.927465411862566,0.927442701008236,0.74317436665973
"74",77,0.743628558760434,0.759421458184475,0.728472499377104,0.201122987975842,0.24922942214988,0.250416267386047,0.925884653368519,0.925857630320243,0.741862007979578
"75",78,0.739248478258655,0.754811137166387,0.723242267823442,0.200771096484183,0.249360648089227,0.251043696269303,0.924354519616478,0.924328005432287,0.740595237252633
"76",79,0.734473957777908,0.749792905034794,0.717568709486737,0.20054264474638,0.249511347741723,0.251985624527142,0.922880413707763,0.922852326819685,0.739372938287515
"77",80,0.735275201447858,0.751709349686624,0.718907299739145,0.200949376799889,0.249441912643632,0.251832415091627,0.921456601092073,0.921429028210473,0.738193892909485
"78",81,0.737471062409576,0.755522678672425,0.721536796526623,0.201165014469163,0.250669774827786,0.250977691996079,0.920084367780684,0.920056517486388,0.737056832395834
"79",82,0.734681841162183,0.75124132749878,0.71910207257484,0.200187354274534,0.253097298219177,0.250345431625575,0.918760544589584,0.918733201448618,0.735960469451284
"80",83,0.729345256360721,0.745959174016547,0.712344796859255,0.200311730248549,0.253579363383148,0.251983786196147,0.917485855241397,0.917457503615954,0.734903517717532
